CUSTOMER_ID	PURCHASE_ID	ORDERDATE
724	8037	1999-07-11
727	9324	1999-02-21
728	18385	2004-05-22
730	6966	2002-11-29
731	8620	2000-07-21
731	6336	2001-11-09
731	7583	2003-07-17
732	10648	2003-04-22
732	8330	2003-05-10
733	10618	2001-05-01
733	5838	2003-12-01
736	8296	2000-11-13
736	6357	2003-10-22
737	7453	2003-03-09
738	6025	2002-11-13
739	6253	2003-01-28
740	8192	1999-12-07
740	6902	2001-02-05
741	9554	1999-07-15
741	6143	2001-10-04
742	5987	2000-01-22
743	10245	2001-01-22
743	7172	2003-09-16
744	18386	2004-08-09
745	8532	2001-08-24
745	8765	2001-10-20
748	7272	2000-01-20
748	6540	2003-08-27
751	10137	1999-01-09
751	7209	1999-10-24
752	6961	2000-04-10
752	9565	2002-12-13
753	8227	2002-01-18
755	18387	2004-05-14
756	8774	2004-04-16
756	9721	2004-09-15
756	18388	2004-11-15
757	10683	2000-05-01
759	8252	2001-08-15
759	9330	2003-03-04
760	10582	2001-11-19
761	6492	1999-12-06
761	6867	2002-04-18
761	5905	2002-11-24
762	9525	2002-12-10
764	9189	1999-09-07
765	7235	1999-11-10
765	6385	2002-02-10
766	7232	1999-02-13
766	9494	2001-05-06
766	8300	2004-06-07
770	8228	2002-04-11
770	6878	2003-10-07
773	9325	1999-05-28
773	8745	2001-08-24
775	6731	2000-10-14
776	9577	1999-01-26
777	6103	1999-03-07
778	7079	2001-10-15
779	8875	2002-07-03
779	6054	2004-03-30
780	10422	2003-03-07
781	9881	1999-06-06
781	8079	2000-05-03
781	7094	2004-05-20
783	5730	2002-05-26
784	8570	1999-07-19
784	7536	2000-08-12
784	6908	2003-02-22
785	10504	2000-10-03
788	8098	2000-05-07
788	7307	2002-08-13
789	8787	1999-09-24
789	8572	2002-07-02
789	10625	2003-09-16
790	18389	2004-03-12
790	10460	2004-07-13
791	7815	2001-02-13
791	9638	2001-06-27
792	9094	2003-07-24
793	8990	2002-12-06
794	9526	2001-03-31
794	9821	2003-11-02
796	10569	2004-03-01
797	7900	2002-09-01
799	10113	1999-10-06
800	8736	2001-03-07
800	7755	2004-09-02
803	10513	2002-06-22
803	7708	2002-07-16
804	10410	2003-05-15
805	6399	2004-11-06
806	9985	2001-12-01
806	10068	2004-04-01
807	7713	1999-01-13
807	7949	2001-03-16
807	6743	2004-10-30
808	9477	1999-10-11
808	9691	2001-05-02
809	7537	2002-07-23
810	6499	2004-04-21
810	18390	2004-07-28
811	8762	1999-06-05
812	6767	1999-01-26
814	7128	2002-12-14
815	7422	2003-02-28
815	7281	2003-04-12
816	6883	2001-05-20
817	7258	2002-06-03
818	6216	2001-07-07
818	7229	2004-10-13
822	6456	1999-11-03
824	10409	2000-03-23
824	7624	2002-06-25
825	8194	2000-10-30
827	7354	2002-04-07
827	10534	2002-11-16
829	9045	1999-05-25
831	8627	1999-11-29
831	7727	2002-02-13
831	8429	2003-02-10
832	9608	2002-10-25
833	10114	1999-09-25
836	6180	2001-04-03
838	8581	2002-01-15
838	7508	2003-12-04
841	6711	2000-01-30
841	7492	2000-02-07
842	8130	2000-10-11
842	6354	2003-12-17
843	6325	2001-01-16
844	9410	2003-10-26
845	8574	2002-10-24
847	6303	2004-12-14
848	18391	2004-05-12
848	10531	2004-08-25
848	7414	2004-11-17
849	10057	2003-06-16
850	9163	2004-08-06
850	18392	2004-11-18
853	10319	1999-09-02
853	9839	2004-06-07
854	10056	2004-04-27
854	10234	2004-10-26
855	7033	2004-05-02
856	9212	1999-10-21
856	10149	2001-01-02
861	5773	2001-08-14
861	9823	2002-10-12
861	9145	2003-07-15
862	6349	2004-09-02
863	9082	1999-11-08
866	6635	2000-08-17
871	7231	2002-04-04
876	6389	2004-07-13
877	7919	2002-04-25
878	6825	2001-04-02
881	6276	2004-02-10
882	7369	2000-12-28
883	8074	2003-07-05
884	8090	2004-10-04
885	9349	2000-07-20
885	9220	2001-06-10
886	9161	2002-04-27
889	8139	1999-03-11
889	10127	1999-10-28
889	10175	2001-12-18
892	7345	2001-11-02
893	6956	2000-05-19
894	9346	2003-09-05
895	7761	2001-11-13
896	10009	2002-10-13
898	8913	2003-10-16
901	7298	2000-03-03
904	7160	2002-01-30
904	8502	2002-02-07
905	8759	2002-09-16
905	7923	2003-10-27
906	8309	2004-10-16
908	5938	2003-02-03
908	9150	2003-06-13
909	10239	2000-12-17
909	6121	2004-10-25
910	9788	2001-04-24
911	6487	2004-03-01
914	9937	1999-02-01
914	6474	2000-06-10
914	10609	2003-11-07
914	9225	2004-06-01
915	6886	1999-12-22
916	6204	2000-04-18
918	9486	2000-12-10
919	5896	2001-05-01
920	5870	2001-11-02
921	8992	2001-07-15
922	9141	1999-08-23
924	7765	2000-04-19
924	10522	2001-09-14
925	8656	2000-11-12
926	10436	2002-10-12
926	8217	2003-11-09
