CUSTOMER_ID,GENDER,POSTAL_CODE,CREDITLIMIT,MONETARY_VALUE,FREQUENCY,RECENCY,HAS_RECEIVED_TEST_MAILING,RESPONSE_TO_TEST_MAILING,ORDERDATE_WITHIN_6_MONTHS_OF_MAILING,NUMBER_OF_PRODUCTS_PURCHASED_IN_TEST_MAILING
723,female,1818BO,9026,2 medium,3 high,2 medium,yes,F,nap,0
724,male,1132DG,5223,1 low,3 high,1 low,yes,F,nap,0
725,female,1803YT,668,3 high,1 low,1 low,yes,F,nap,0
726,male,1205WR,8302,3 high,1 low,3 high,yes,F,nap,0
727,female,1711ON,997,1 low,3 high,1 low,yes,F,nap,0
728,male,1055FG,1955,2 medium,3 high,1 low,yes,T,yes,1
729,female,1254MR,6898,1 low,3 high,1 low,yes,F,nap,0
730,female,1723DG,6488,2 medium,3 high,1 low,yes,F,nap,0
731,female,1713AQ,5006,3 high,2 medi,1 low,yes,F,nap,0
732,female,1264EC,929,3 high,2 medi,3 high,yes,T,nap,0
733,female,1648BT,3303,3 high,2 medi,1 low,yes,F,nap,0
734,female,1285XV,8934,3 high,1 low,3 high,yes,F,nap,0
735,female,1282NB,9808,1 low,2 medi,2 medium,yes,F,nap,0
736,male,1799IT,4723,3 high,2 medi,1 low,yes,F,nap,0
737,male,1802UO,672,2 medium,3 high,1 low,yes,F,nap,0
738,female,1971NK,7801,1 low,3 high,1 low,yes,F,nap,0
739,male,1361RL,5984,2 medium,3 high,1 low,yes,F,nap,0
740,female,1164VN,2621,3 high,2 medi,1 low,yes,F,nap,0
741,male,1767YN,6062,3 high,1 low,1 low,yes,F,nap,0
742,male,1681HP,9797,1 low,3 high,1 low,yes,F,nap,0
743,female,1287PI,2687,3 high,2 medi,1 low,yes,F,nap,0
744,male,1023AR,128,2 medium,3 high,1 low,yes,T,yes,1
745,female,1737ZI,182,3 high,2 medi,1 low,yes,F,nap,0
746,male,1625TZ,2301,1 low,3 high,1 low,yes,F,nap,0
