CUSTOMER_ID,GENDER,POSTAL_CODE,CREDITLIMIT,MONETARY_VALUE,FREQUENCY,RECENCY,HAS_RECEIVED_TEST_MAILING,RESPONSE_TO_TEST_MAILING,ORDERDATE_WITHIN_6_MONTHS_OF_MAILING,NUMBER_OF_PRODUCTS_PURCHASED_IN_TEST_MAILING,$R-RESPONSE_TO_TEST_MAILING,$RC-RESPONSE_TO_TEST_MAILING
5835,"male","1573LT",8406,"3 high","2 medi","3 high","no","","",,"T",0.622
5851,"male","1047IN",4889,"3 high","2 medi","3 high","no","","",,"T",0.622
6031,"female","1874FC",9247,"3 high","2 medi","3 high","no","","",,"T",0.622
6204,"male","1607ZU",8728,"3 high","2 medi","3 high","no","","",,"T",0.622
6245,"female","1898WF",4895,"3 high","2 medi","3 high","no","","",,"T",0.622
6340,"male","1868TM",2569,"3 high","2 medi","3 high","no","","",,"T",0.622
6424,"female","1566LB",1773,"3 high","2 medi","3 high","no","","",,"T",0.622
6451,"female","1548VC",500,"3 high","2 medi","3 high","no","","",,"T",0.622
6460,"female","1627WH",7007,"3 high","2 medi","3 high","no","","",,"T",0.622
6501,"male","1244PI",9302,"3 high","2 medi","3 high","no","","",,"T",0.622
6516,"male","1058XJ",5616,"3 high","2 medi","3 high","no","","",,"T",0.622
6525,"female","1056TQ",3834,"3 high","2 medi","3 high","no","","",,"T",0.622
6657,"male","1145YE",9992,"3 high","2 medi","3 high","no","","",,"T",0.622
6659,"female","1828GA",2141,"3 high","2 medi","3 high","no","","",,"T",0.622
6766,"male","1158TL",1220,"3 high","2 medi","3 high","no","","",,"T",0.622
6877,"female","1677CH",4335,"3 high","2 medi","3 high","no","","",,"T",0.622
6904,"female","1336UL",8094,"3 high","2 medi","3 high","no","","",,"T",0.622
7162,"female","1857YS",389,"3 high","2 medi","3 high","no","","",,"T",0.622
7449,"female","1398WY",9535,"3 high","2 medi","3 high","no","","",,"T",0.622
7510,"female","1097WR",6899,"3 high","2 medi","3 high","no","","",,"T",0.622
7516,"female","1280VI",7524,"3 high","2 medi","3 high","no","","",,"T",0.622
7524,"female","1407WB",1567,"3 high","2 medi","3 high","no","","",,"T",0.622
7550,"male","1019CB",1330,"3 high","2 medi","3 high","no","","",,"T",0.622
7555,"female","1169IY",6600,"3 high","2 medi","3 high","no","","",,"T",0.622
7576,"female","1582JZ",5478,"3 high","2 medi","3 high","no","","",,"T",0.622
7640,"female","1011UM",5434,"3 high","2 medi","3 high","no","","",,"T",0.622
7694,"male","1144EO",3800,"3 high","2 medi","3 high","no","","",,"T",0.622
7810,"male","1105QV",7926,"3 high","2 medi","3 high","no","","",,"T",0.622
7977,"female","1784XE",338,"3 high","2 medi","3 high","no","","",,"T",0.622
8002,"male","1442KG",1904,"3 high","2 medi","3 high","no","","",,"T",0.622
8017,"female","1405DM",2123,"3 high","2 medi","3 high","no","","",,"T",0.622
8149,"female","1591LQ",6115,"3 high","2 medi","3 high","no","","",,"T",0.622
8160,"female","1505LE",3100,"3 high","2 medi","3 high","no","","",,"T",0.622
8322,"male","1078ET",2301,"3 high","2 medi","3 high","no","","",,"T",0.622
8356,"male","1376WN",71,"3 high","2 medi","3 high","no","","",,"T",0.622
8376,"female","1341XI",1,"3 high","2 medi","3 high","no","","",,"T",0.622
8429,"female","1640PQ",4918,"3 high","2 medi","3 high","no","","",,"T",0.622
8500,"female","1831GE",5125,"3 high","2 medi","3 high","no","","",,"T",0.622
8515,"male","1506VY",430,"3 high","2 medi","3 high","no","","",,"T",0.622
8557,"male","1098IP",8286,"3 high","2 medi","3 high","no","","",,"T",0.622
8589,"male","1105ZY",2028,"3 high","2 medi","3 high","no","","",,"T",0.622
8789,"male","1155CN",8439,"3 high","2 medi","3 high","no","","",,"T",0.622
8790,"male","1650XI",3005,"3 high","2 medi","3 high","no","","",,"T",0.622
8800,"female","1959FP",7154,"3 high","2 medi","3 high","no","","",,"T",0.622
8825,"male","1714AT",159,"3 high","2 medi","3 high","no","","",,"T",0.622
